date	clade	count_clade
2020-02-01	6b1.A/183P-5a	28
2020-01-01	6b1.A/183P-5a	31
2020-01-01	6b1.A/156K	31
2020-03-01	6b1.A/156K	31
2019-12-01	6b1.A/183P-5a	30
2020-03-01	6b1.A/187A	27
2020-02-01	6b1.A/156K	29
2020-12-01	6b1.A/187A	5
2019-09-01	6b1.A/183P-5a	30
2020-11-01	6b1.A/187A	15
2019-08-01	6b1.A/183P-5a	28
2019-10-01	6b1.A/183P-5a	29
2019-07-01	6b1.A/183P-5a	31
2019-06-01	6b1.A/183P-5a	30
2020-01-01	6b1.A/187A	31
2020-02-01	6b1.A/187A	29
2021-01-01	6b1.A/187A	15
2020-10-01	6b1.A/187A	4
2020-03-01	6b1.A/183P-5a	19
2020-09-01	6b1.A/187A	1
2021-02-01	6b1.A/187A	21
2019-12-01	6b1.A/187A	31
2020-03-01	6b1.A/183P-5b	8
2020-02-01	6b1.A/183P-5b	23
2020-01-01	6b1.A/183P-7	20
2019-11-01	6b1.A/187A	30
2019-11-01	6b1.A/183P-7	25
2019-12-01	6b1.A/183P-7	28
2019-12-01	6b1.A/183P-5b	31
2020-01-01	6b1.A/183P-5b	29
2019-12-01	6b1.A/156K	26
2021-04-01	6b1.A/156K	1
2021-04-01	6b1.A/187A	3
2020-02-01	6b1.A/183P-7	10
2019-01-01	6b1.A/187A	1
2019-11-01	6b1.A/156K	8
2019-11-01	6b1.A/183P-5b	28
2021-03-01	6b1.A/187A	20
2021-01-01	6b1.A/183P-7	1
2021-02-01	6b1.A/183P-7	1
2018-12-01	6b1.A	30
2018-12-01	6b1.A/183P-2	25
2018-12-01	6b1.A/183P-6	30
2018-12-01	6b1.A/183P-5	25
2018-12-01	6b1.A/183P-5a	31
2018-12-01	6b1.A/183P-7	31
2018-12-01	6b1.A/183P-1	30
2018-12-01	6b1.A/183P-5b	16
2018-12-01	6b1.A/183P-3	22
2019-01-01	6b1.A/183P-2	30
2019-01-01	6b1.A/183P-5a	31
2019-01-01	6b1.A/183P-7	31
2019-01-01	6b1.A/183P-6	29
2019-01-01	6b1.A	28
2019-01-01	6b1.A/183P-1	31
2018-12-01	6c	1
2019-01-01	6b1.A/183P-5	19
2021-05-01	6b1.A/156K	2
2021-06-01	6b1.A/156K	6
2021-07-01	6b1.A/156K	1
2019-01-01	6b1.A/183P-3	26
2019-01-01	6b1.A/183P-5b	24
2018-12-01	6b1.A/183P-4	5
2019-02-01	6b1.A/183P-7	27
2019-02-01	6b1.A/183P-5a	28
2019-02-01	6b1.A/183P-5	14
2019-02-01	6b1.A/183P-2	19
2019-02-01	6b1.A/183P-6	28
2019-02-01	6b1.A	18
2019-02-01	6b1.A/183P-3	20
2019-02-01	6b1.A/183P-1	28
2019-01-01	6b1.A/183P-4	4
2019-02-01	6b1.A/183P-5b	28
2019-03-01	6b1.A/183P-5a	31
2019-03-01	6b1.A/183P-7	28
2019-03-01	6b1.A/183P-2	13
2019-03-01	6b1.A/183P-6	26
2019-03-01	6b1.A/183P-1	28
2019-03-01	6b1.A/183P-5b	31
2019-03-01	6b1.A/183P-3	9
2019-03-01	6b1.A	21
2019-04-01	6b1.A/183P-1	23
2019-04-01	6b1.A/183P-5b	29
2019-04-01	6b1.A/183P-6	15
2019-04-01	6b1.A/183P-7	16
2019-04-01	6b1.A/183P-5a	30
2021-07-01	6b1.A/187A	1
2021-06-01	6b1.A/187A	6
2021-05-01	6b1.A/187A	3
2019-03-01	6b1.A/183P-5	7
