date	clade	count_clade
2020-09-01	A1b/137F	1
2021-01-01	A1b/94N	13
2020-09-01	A1b/94N	28
2020-10-01	A1b/94N	20
2020-07-01	A1b/94N	7
2018-12-01	3c3.A	31
2020-11-01	A1b/94N	7
2021-03-01	A1b/94N	12
2021-02-01	A1b/94N	15
2020-11-01	A1b/186D	16
2019-07-01	A1b/137F	28
2019-11-01	A1b/94N	29
2019-12-01	A1b/94N	27
2019-09-01	A1b/94N	21
2019-10-01	A1b/94N	29
2019-07-01	A1b/94N	14
2020-12-01	A1b/186D	4
2021-01-01	A1b/186D	7
2020-03-01	A1b/137F	22
2020-01-01	A1b/137F	31
2020-02-01	A1b/137F	27
2020-08-01	A1b/94N	10
2020-02-01	A1b/186D	28
2020-01-01	A1b/197R	31
2020-03-01	A1b/186D	23
2020-02-01	A1b/135K	2
2020-10-01	A1b/186D	8
2020-03-01	3c3.A	20
2021-05-01	A1b/94N	4
2021-04-01	A1b/94N	9
2020-12-01	A1b/94N	1
2021-02-01	A1b/137F	1
2020-02-01	A1b/94N	16
2019-10-01	A1b/137F	25
2019-12-01	A1b/197R	30
2019-12-01	A1b/186D	27
2020-01-01	A1b/131K	11
2020-01-01	3c3.A	31
2020-01-01	A1b/186D	30
2019-01-01	3c3.A	31
2020-02-01	3c3.A	28
2020-01-01	A1b/135K	4
2020-03-01	A1b/197R	20
2020-02-01	A1b/197R	23
2019-11-01	A1b/131K	23
2021-04-01	A1b/186D	1
2021-02-01	A1b/186D	2
2021-03-01	A1b/186D	2
2021-06-01	A1b/94N	10
2019-12-01	A1b/137F	30
2018-12-01	A1b/131K	29
2018-12-01	A1b/135K	31
2018-12-01	A1b/197R	11
2018-12-01	A2/re	24
2018-12-01	A1b/135N	5
2019-01-01	A1b/131K	31
2018-12-01	A3	20
2021-05-01	3c3.A	1
2019-01-01	A1b/135K	31
2019-01-01	A2/re	29
2018-12-01	A1b/137F	9
2019-01-01	A1b/197R	26
2019-01-01	A1b/137F	20
2019-01-01	A3	19
2021-02-01	A1b	1
2019-01-01	3c2.A	3
2021-07-01	A1b/94N	8
2021-07-01	A2/re	1
2019-01-01	A1b/135N	5
2018-12-01	A4	2
2019-01-01	A1b	3
2019-02-01	A1b/135K	28
2019-02-01	A1b/131K	28
2019-02-01	3c3.A	28
2019-02-01	A3	17
2019-02-01	A2/re	22
2019-02-01	A1b/197R	28
2019-02-01	A1b/137F	14
2019-01-01	A2	2
2019-02-01	A2	1
2019-03-01	A1b/131K	31
2021-08-01	A1b/94N	1
2019-03-01	3c3.A	31
2019-03-01	A1b/135K	30
2019-02-01	A1	1
2019-03-01	A1b/197R	31
2019-04-01	3c3.A	30
2019-03-01	A2/re	15
2019-04-01	A1b/135K	24
2019-04-01	A1b/131K	29
2019-03-01	A1b	2
2019-03-01	A3	17
2021-05-01	A1b/186D	1
2021-06-01	A1b/186D	2
2019-04-01	A1b/197R	30
2019-01-01	A4	2
2019-04-01	A4	1
2019-04-01	A1b/137F	20
2019-03-01	A1b/137F	19
2019-05-01	A1b/197R	31
2019-05-01	A1b/135K	23
2019-05-01	A1b/131K	27
2019-01-01	A1b/94N	1
2019-05-01	3c3.A	28
2019-02-01	A4	1
2019-06-01	A1b/197R	28
2019-05-01	A1b/137F	29
2019-04-01	A2/re	6
2019-05-01	A2	1
2019-05-01	A2/re	3
2019-06-01	A1b/131K	27
2019-06-01	3c3.A	28
2019-06-01	A1b/135K	21
2019-06-01	A1b/94N	3
2019-01-01	3c	1
2019-07-01	A1b/197R	30
2019-03-01	A2	1
2019-06-01	A1b/137F	28
2019-07-01	3c3.A	24
2019-07-01	A1b/135K	18
2019-07-01	A1b/131K	21
2019-06-01	A3	2
2019-06-01	A2/re	2
2019-03-01	A4	2
2019-08-01	A1b/197R	29
2019-08-01	3c3.A	19
2019-08-01	A1b/131K	18
2019-07-01	A2/re	3
2019-08-01	A1b/137F	22
2019-08-01	A1b/135K	11
2019-08-01	A1b/94N	24
2019-09-01	3c3.A	22
2019-08-01	A3	3
2019-04-01	A3	3
2019-09-01	A1b/131K	19
2019-09-01	A1b/137F	23
2019-09-01	A1b/197R	29
2019-09-01	A1b/135K	24
2019-05-01	A3	1
2019-10-01	3c3.A	26
2019-09-01	A1b/186D	9
2019-10-01	A1b/197R	31
2019-10-01	A1b/135K	18
2019-07-01	A3	1
2019-10-01	A1b/186D	16
2019-10-01	A1b/131K	24
2019-09-01	A2/re	2
2019-11-01	A1b/197R	29
2019-11-01	A1b/137F	29
2019-11-01	3c3.A	30
2019-11-01	A1b/186D	23
2019-11-01	A1b/135K	18
2019-12-01	3c3.A	31
2019-12-01	A1b/131K	15
2019-10-01	A3	1
2019-10-01	A2/re	1
2020-01-01	A1b/94N	22
2019-12-01	A1b/135K	14
2019-04-01	A1b/186D	2
2019-12-01	A3	1
2019-12-01	A2	1
2020-02-01	A1b/131K	6
2020-03-01	A1b/94N	17
2020-03-01	A1b/131K	6
2020-03-01	A1	1
2019-09-01	A3	2
2020-03-01	A1b/135K	3
2019-11-01	A3	2
2019-05-01	A1b/94N	1
2020-04-01	A1b/131K	1
2020-01-01	A3	1
2020-03-01	A3	1
2020-04-01	A1b/94N	2
2020-02-01	A3	3
2020-05-01	A1b/137F	1
2020-06-01	A1b/137F	1
2020-07-01	A1b/137F	1
2020-09-01	A1b/186D	1
