date	clade	count_clade
2020-01-06	172Q	2
2019-12-16	172Q	6
2019-12-03	172Q	4
2019-12-30	172Q	4
2020-01-05	172Q	2
2020-02-01	172Q	1
2020-01-08	172Q	4
2020-02-05	172Q	1
2018-12-06	172Q	5
2018-12-03	172Q	4
2018-12-04	172Q	4
2018-12-02	172Q	4
2018-12-10	172Q	3
2018-12-18	172Q	4
2018-12-12	172Q	4
2018-12-09	172Q	2
2018-12-17	172Q	3
2018-12-16	172Q	1
2018-12-26	172Q	3
2018-12-21	172Q	1
2018-12-31	172Q	4
2019-01-02	172Q	5
2018-12-14	172Q	3
2018-12-27	172Q	5
2018-12-11	172Q	7
2018-12-20	172Q	5
2019-01-01	172Q	3
2019-01-05	172Q	4
2018-12-25	172Q	3
2019-01-18	172Q	3
2019-01-17	172Q	3
2019-01-10	172Q	14
2018-12-30	172Q	3
2019-01-09	172Q	7
2019-01-16	172Q	8
2019-01-04	172Q	6
2019-01-06	172Q	3
2019-01-15	172Q	7
2018-12-29	172Q	3
2018-12-19	172Q	3
2019-01-14	172Q	9
2019-01-22	172Q	3
2018-12-07	172Q	1
2019-01-23	172Q	6
2019-01-08	172Q	4
2019-01-24	172Q	2
2019-02-01	172Q	3
2018-12-05	172Q	1
2019-01-30	172Q	7
2019-01-19	172Q	2
2019-01-27	172Q	3
2019-01-28	172Q	8
2019-02-18	172Q	11
2018-12-28	172Q	3
2018-12-24	172Q	4
2019-02-14	172Q	6
2019-02-05	172Q	2
2019-02-07	172Q	6
2019-01-29	172Q	3
2019-02-19	172Q	4
2018-12-01	172Q	2
2019-01-31	172Q	5
2019-02-27	172Q	7
2019-02-10	172Q	1
2019-02-04	172Q	9
2019-02-15	172Q	6
2019-02-11	172Q	4
2018-12-15	172Q	2
2018-12-23	172Q	2
2019-02-16	172Q	3
2019-02-17	172Q	5
2019-03-06	172Q	3
2019-02-25	172Q	5
2019-02-28	172Q	4
2019-02-09	172Q	3
2019-02-13	172Q	5
2019-03-01	172Q	5
2019-03-10	172Q	3
2019-03-17	172Q	2
2019-01-03	172Q	4
2019-02-22	172Q	10
2019-02-24	172Q	1
2019-03-11	172Q	2
2019-01-20	172Q	1
2019-02-08	172Q	9
2019-01-07	172Q	4
2018-12-22	172Q	4
2019-03-15	172Q	3
2019-01-25	172Q	6
2019-01-21	172Q	3
2019-01-12	172Q	2
2019-03-21	172Q	7
2019-01-11	172Q	2
2019-03-18	172Q	6
2019-03-08	172Q	3
2019-03-04	172Q	3
2019-03-16	172Q	8
2019-03-25	172Q	5
2019-03-09	172Q	5
2019-02-20	172Q	4
2019-03-19	172Q	5
2019-03-30	172Q	2
2019-03-12	172Q	7
2019-03-28	172Q	5
2019-03-14	172Q	3
2019-03-26	172Q	4
2019-03-05	172Q	6
2019-04-08	172Q	4
2019-04-02	172Q	3
2019-03-27	172Q	5
2019-04-03	172Q	8
2019-04-05	172Q	2
2019-04-04	172Q	4
2019-04-15	172Q	7
2019-04-01	172Q	7
2019-04-07	172Q	1
2019-03-07	172Q	3
2018-12-13	172Q	3
2019-03-31	172Q	3
2019-04-20	172Q	3
2019-04-17	172Q	4
2019-04-22	172Q	5
2019-03-24	172Q	3
2019-04-27	172Q	2
2019-05-02	172Q	5
2019-04-30	172Q	3
2019-04-14	172Q	3
2019-04-25	172Q	5
2019-04-18	172Q	3
2019-05-07	172Q	2
2019-03-20	172Q	4
2019-02-06	172Q	9
2019-03-03	172Q	2
2019-03-23	172Q	5
2019-02-23	172Q	5
2019-02-26	172Q	3
2019-04-29	172Q	2
2019-04-23	172Q	3
2019-04-26	172Q	3
2019-05-01	172Q	1
2019-05-14	172Q	2
2019-05-10	172Q	1
2019-05-28	172Q	3
2019-02-02	172Q	4
2019-01-13	172Q	2
2019-05-06	172Q	2
2019-05-16	172Q	1
2019-05-18	172Q	2
2019-04-11	172Q	4
2019-05-08	172Q	2
2019-06-01	172Q	3
2019-05-26	172Q	2
2019-04-28	172Q	4
2019-02-03	172Q	2
2019-05-05	172Q	2
2019-05-03	172Q	2
2019-04-09	172Q	4
