Taxa	Isolate_Id	strain	date	Location	country	clade
EPI_ISL_1180145|A/Madagascar/560/2020|2020-02-04	EPI_ISL_1180145	EPI_ISL_1180145|A/Madagascar/560/2020|2020-02-04	2020-02-04	Africa / Madagascar	Madagascar	6b1.A/183P-5a
EPI_ISL_1180146|A/Madagascar/218/2020|2020-01-13	EPI_ISL_1180146	EPI_ISL_1180146|A/Madagascar/218/2020|2020-01-13	2020-01-13	Africa / Madagascar	Madagascar	6b1.A/183P-5a
EPI_ISL_1180149|A/Madagascar/290/2020|2020-01-20	EPI_ISL_1180149	EPI_ISL_1180149|A/Madagascar/290/2020|2020-01-20	2020-01-20	Africa / Madagascar	Madagascar	6b1.A/183P-5a
EPI_ISL_1296409|A/Nigeria/5072/2020|2020-12-03	EPI_ISL_1296409	EPI_ISL_1296409|A/Nigeria/5072/2020|2020-12-03	2020-12-03	Africa / Nigeria	Nigeria	6b1.A/187A
EPI_ISL_1296411|A/Nigeria/5060/2020|2020-11-30	EPI_ISL_1296411	EPI_ISL_1296411|A/Nigeria/5060/2020|2020-11-30	2020-11-30	Africa / Nigeria	Nigeria	6b1.A/187A
EPI_ISL_1296412|A/Nigeria/5063/2020|2020-12-01	EPI_ISL_1296412	EPI_ISL_1296412|A/Nigeria/5063/2020|2020-12-01	2020-12-01	Africa / Nigeria	Nigeria	6b1.A/187A
EPI_ISL_1296413|A/Vietnam/Vnhcm-Gs394/2019|2019-08-15	EPI_ISL_1296413	EPI_ISL_1296413|A/Vietnam/Vnhcm-Gs394/2019|2019-08-15	2019-08-15	Asia / Vietnam	Vietnam	6b1.A/183P-5a
EPI_ISL_1296414|A/Nigeria/5065/2020|2020-12-01	EPI_ISL_1296414	EPI_ISL_1296414|A/Nigeria/5065/2020|2020-12-01	2020-12-01	Africa / Nigeria	Nigeria	6b1.A/187A
EPI_ISL_1296417|A/Vietnam/Vnhcm-Gs371/2019|2019-08-06	EPI_ISL_1296417	EPI_ISL_1296417|A/Vietnam/Vnhcm-Gs371/2019|2019-08-06	2019-08-06	Asia / Vietnam	Vietnam	6b1.A/183P-5a
EPI_ISL_1296419|A/Nigeria/5066/2020|2020-12-02	EPI_ISL_1296419	EPI_ISL_1296419|A/Nigeria/5066/2020|2020-12-02	2020-12-02	Africa / Nigeria	Nigeria	6b1.A/187A
EPI_ISL_1296421|A/Nigeria/5058/2020|2020-11-30	EPI_ISL_1296421	EPI_ISL_1296421|A/Nigeria/5058/2020|2020-11-30	2020-11-30	Africa / Nigeria	Nigeria	6b1.A/187A
EPI_ISL_1296422|A/Nigeria/5054/2020|2020-11-09	EPI_ISL_1296422	EPI_ISL_1296422|A/Nigeria/5054/2020|2020-11-09	2020-11-09	Africa / Nigeria	Nigeria	6b1.A/187A
EPI_ISL_1296423|A/Nigeria/5070/2020|2020-12-03	EPI_ISL_1296423	EPI_ISL_1296423|A/Nigeria/5070/2020|2020-12-03	2020-12-03	Africa / Nigeria	Nigeria	6b1.A/187A
