Taxa	Isolate_Id	strain	date	Location	country	clade
EPI_ISL_1034770|B/Dakar/05/2020|2020-11-16	EPI_ISL_1034770	EPI_ISL_1034770|B/Dakar/05/2020|2020-11-16	2020-11-16	Africa / Senegal	Senegal	V1A.3/150K
EPI_ISL_1034771|B/Dakar/06/2020|2020-11-14	EPI_ISL_1034771	EPI_ISL_1034771|B/Dakar/06/2020|2020-11-14	2020-11-14	Africa / Senegal	Senegal	V1A.3/150K
EPI_ISL_1034772|B/Dakar/07/2020|2020-10-10	EPI_ISL_1034772	EPI_ISL_1034772|B/Dakar/07/2020|2020-10-10	2020-10-10	Africa / Senegal	Senegal	V1A.3/150K
EPI_ISL_1034773|B/Dakar/08/2020|2020-11-07	EPI_ISL_1034773	EPI_ISL_1034773|B/Dakar/08/2020|2020-11-07	2020-11-07	Africa / Senegal	Senegal	V1A.3/150K
EPI_ISL_1034774|B/Dakar/09/2020|2020-11-15	EPI_ISL_1034774	EPI_ISL_1034774|B/Dakar/09/2020|2020-11-15	2020-11-15	Africa / Senegal	Senegal	V1A.3/150K
EPI_ISL_1034779|B/Salalah/7211353/2021|2021-01-17	EPI_ISL_1034779	EPI_ISL_1034779|B/Salalah/7211353/2021|2021-01-17	2021-01-17	Asia / Oman	Oman	V1A.3/150K
EPI_ISL_1034792|B/Dakar/11/2020|2020-10-20	EPI_ISL_1034792	EPI_ISL_1034792|B/Dakar/11/2020|2020-10-20	2020-10-20	Africa / Senegal	Senegal	V1A.3/150K
EPI_ISL_1041956|B/Lyon/CHU_2056042/2020_dec|2020-12-10	EPI_ISL_1041956	EPI_ISL_1041956|B/Lyon/CHU_2056042/2020_dec|2020-12-10	2020-12-10	Europe / France	France	V1A.3/150K
EPI_ISL_1055766|B/Stockholm/1/2021|2021-01-30	EPI_ISL_1055766	EPI_ISL_1055766|B/Stockholm/1/2021|2021-01-30	2021-01-30	Europe / Sweden / Stockholms lan	Sweden	V1A.3/150K
EPI_ISL_1064158|B/Bahrain/3759/2021|2021-01-07	EPI_ISL_1064158	EPI_ISL_1064158|B/Bahrain/3759/2021|2021-01-07	2021-01-07	Asia / Bahrain	Bahrain	V1A.3/150K
EPI_ISL_1064159|B/Bahrain/1305/2021|2021-01-15	EPI_ISL_1064159	EPI_ISL_1064159|B/Bahrain/1305/2021|2021-01-15	2021-01-15	Asia / Bahrain	Bahrain	V1A.3/150K
EPI_ISL_1064160|B/Abu_Dhabi/3511581/2020|2020-12-15	EPI_ISL_1064160	EPI_ISL_1064160|B/Abu_Dhabi/3511581/2020|2020-12-15	2020-12-15	Asia / United Arab Emirates	United Arab Emirates	V1A.3/150K
EPI_ISL_1064161|B/Vietnam/Vnhcm-Gs26/2020|2020-01-14	EPI_ISL_1064161	EPI_ISL_1064161|B/Vietnam/Vnhcm-Gs26/2020|2020-01-14	2020-01-14	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1180161|B/Nigeria/4969/2020|2020-11-09	EPI_ISL_1180161	EPI_ISL_1180161|B/Nigeria/4969/2020|2020-11-09	2020-11-09	Africa / Nigeria	Nigeria	V1A.3/150K
EPI_ISL_1180162|B/Nigeria/5069/2020|2020-12-01	EPI_ISL_1180162	EPI_ISL_1180162|B/Nigeria/5069/2020|2020-12-01	2020-12-01	Africa / Nigeria	Nigeria	V1A.3/150K
EPI_ISL_1224823|B/Catalonia/0665953S/2021|2021-02-18	EPI_ISL_1224823	EPI_ISL_1224823|B/Catalonia/0665953S/2021|2021-02-18	2021-02-18	Europe / Spain / Catalonia / Girona	Spain	V1A.3/150K
EPI_ISL_1296464|B/Vietnam/Vnhcm-Gs514/2019|2019-10-09	EPI_ISL_1296464	EPI_ISL_1296464|B/Vietnam/Vnhcm-Gs514/2019|2019-10-09	2019-10-09	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1296466|B/Vietnam/Vnhcm-Vp69/2019|2019-06-30	EPI_ISL_1296466	EPI_ISL_1296466|B/Vietnam/Vnhcm-Vp69/2019|2019-06-30	2019-06-30	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1296468|B/Vietnam/Vnhcm-Gs353/2019|2019-07-25	EPI_ISL_1296468	EPI_ISL_1296468|B/Vietnam/Vnhcm-Gs353/2019|2019-07-25	2019-07-25	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1296471|B/Vietnam/Vnhcm-Gs479/2019|2019-09-29	EPI_ISL_1296471	EPI_ISL_1296471|B/Vietnam/Vnhcm-Gs479/2019|2019-09-29	2019-09-29	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1296472|B/Vietnam/Vnhcm-Gs383/2019|2019-08-12	EPI_ISL_1296472	EPI_ISL_1296472|B/Vietnam/Vnhcm-Gs383/2019|2019-08-12	2019-08-12	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1296473|B/Vietnam/Vnhcm-Gs378/2019|2019-08-05	EPI_ISL_1296473	EPI_ISL_1296473|B/Vietnam/Vnhcm-Gs378/2019|2019-08-05	2019-08-05	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1296474|B/Vietnam/Vnhcm-Gs395/2019|2019-08-15	EPI_ISL_1296474	EPI_ISL_1296474|B/Vietnam/Vnhcm-Gs395/2019|2019-08-15	2019-08-15	Asia / Vietnam	Vietnam	V1A.3/133R
EPI_ISL_1392892|B/Niger/7756/2020|2020-02-07	EPI_ISL_1392892	EPI_ISL_1392892|B/Niger/7756/2020|2020-02-07	2020-02-07	Africa / Niger	Niger	V1A.3/133R
EPI_ISL_1392893|B/Niger/7737/2020|2020-02-04	EPI_ISL_1392893	EPI_ISL_1392893|B/Niger/7737/2020|2020-02-04	2020-02-04	Africa / Niger	Niger	V1A.3/150K
EPI_ISL_1392894|B/Niger/7722/2020|2020-01-31	EPI_ISL_1392894	EPI_ISL_1392894|B/Niger/7722/2020|2020-01-31	2020-01-31	Africa / Niger	Niger	V1A.3/150K
EPI_ISL_1392895|B/Niger/7664/2020|2020-01-17	EPI_ISL_1392895	EPI_ISL_1392895|B/Niger/7664/2020|2020-01-17	2020-01-17	Africa / Niger	Niger	V1A.3/150K
EPI_ISL_1392896|B/Florida/01/2021|2021-02-10	EPI_ISL_1392896	EPI_ISL_1392896|B/Florida/01/2021|2021-02-10	2021-02-10	North America / United States / Florida	United States	V1A.3/133R
EPI_ISL_1392897|B/Niger/7917/2020|2020-02-29	EPI_ISL_1392897	EPI_ISL_1392897|B/Niger/7917/2020|2020-02-29	2020-02-29	Africa / Niger	Niger	V1A.3/133R
EPI_ISL_1392898|B/Niger/7633/2020|2020-01-16	EPI_ISL_1392898	EPI_ISL_1392898|B/Niger/7633/2020|2020-01-16	2020-01-16	Africa / Niger	Niger	V1A.3/150K
EPI_ISL_1392899|B/Niger/7820/2020|2020-02-20	EPI_ISL_1392899	EPI_ISL_1392899|B/Niger/7820/2020|2020-02-20	2020-02-20	Africa / Niger	Niger	V1A.3/150K
EPI_ISL_1392900|B/Niger/7625/2020|2020-01-13	EPI_ISL_1392900	EPI_ISL_1392900|B/Niger/7625/2020|2020-01-13	2020-01-13	Africa / Niger	Niger	V1A.3/133R
EPI_ISL_1392901|B/Niger/7644/2020|2020-01-16	EPI_ISL_1392901	EPI_ISL_1392901|B/Niger/7644/2020|2020-01-16	2020-01-16	Africa / Niger	Niger	V1A.3/133R
EPI_ISL_1392902|B/Niger/8336/2020|2020-11-02	EPI_ISL_1392902	EPI_ISL_1392902|B/Niger/8336/2020|2020-11-02	2020-11-02	Africa / Niger	Niger	V1A.3/150K
EPI_ISL_1392903|B/Niger/8692/2021|2021-01-05	EPI_ISL_1392903	EPI_ISL_1392903|B/Niger/8692/2021|2021-01-05	2021-01-05	Africa / Niger	Niger	V1A.3/150K
EPI_ISL_1519493|B/Dakar/04/2020|2020-10-18	EPI_ISL_1519493	EPI_ISL_1519493|B/Dakar/04/2020|2020-10-18	2020-10-18	Africa / Senegal	Senegal	V1A.3/150K
EPI_ISL_1732532|B/Mali/20059/2020|2020-03-08	EPI_ISL_1732532	EPI_ISL_1732532|B/Mali/20059/2020|2020-03-08	2020-03-08	Africa / Mali	Mali	V1A.3/133R
EPI_ISL_1732534|B/New_Hampshire/01/2021|2021-03-11	EPI_ISL_1732534	EPI_ISL_1732534|B/New_Hampshire/01/2021|2021-03-11	2021-03-11	North America / United States / New Hampshire	United States	V1A.3/150K
EPI_ISL_1760814|B/Stockholm/2/2021|2021-03-01	EPI_ISL_1760814	EPI_ISL_1760814|B/Stockholm/2/2021|2021-03-01	2021-03-01	Europe / Sweden / Stockholms lan	Sweden	V1A.3/150K
EPI_ISL_1760815|B/Stockholm/3/2021|2021-03-05	EPI_ISL_1760815	EPI_ISL_1760815|B/Stockholm/3/2021|2021-03-05	2021-03-05	Europe / Sweden / Stockholms lan	Sweden	V1A.3/150K
