Taxa	Isolate_Id	strain	date	Location	country	clade
EPI_ISL_1015492|A/Bangladesh/3010/2020|2020-09-19	EPI_ISL_1015492	EPI_ISL_1015492|A/Bangladesh/3010/2020|2020-09-19	2020-09-19	Asia / Bangladesh	Bangladesh	A1b/137F
EPI_ISL_1040050|A.AbuDhabi/390121/2021|2021-01-15	EPI_ISL_1040050	EPI_ISL_1040050|A.AbuDhabi/390121/2021|2021-01-15	2021-01-15	Asia / United Arab Emirates / Abu Zaby	United Arab Emirates	A1b/94N
EPI_ISL_1041017|A/Cambodia/e1012396/2020|2020-09-08	EPI_ISL_1041017	EPI_ISL_1041017|A/Cambodia/e1012396/2020|2020-09-08	2020-09-08	Asia / Cambodia / Phnom Penh	Cambodia	A1b/94N
EPI_ISL_1041018|A/Cambodia/e1012399/2020|2020-09-09	EPI_ISL_1041018	EPI_ISL_1041018|A/Cambodia/e1012399/2020|2020-09-09	2020-09-09	Asia / Cambodia / Khett Svay Rieng	Cambodia	A1b/94N
EPI_ISL_1041019|A/Cambodia/e1012422/2020|2020-09-22	EPI_ISL_1041019	EPI_ISL_1041019|A/Cambodia/e1012422/2020|2020-09-22	2020-09-22	Asia / Cambodia / Khett Svay Rieng	Cambodia	A1b/94N
EPI_ISL_1041020|A/Cambodia/e1012424/2020|2020-09-25	EPI_ISL_1041020	EPI_ISL_1041020|A/Cambodia/e1012424/2020|2020-09-25	2020-09-25	Asia / Cambodia / Mondul Kiri	Cambodia	A1b/94N
EPI_ISL_1055767|A/Stockholm/2/2021|2021-01-23	EPI_ISL_1055767	EPI_ISL_1055767|A/Stockholm/2/2021|2021-01-23	2021-01-23	Europe / Sweden / Stockholms lan	Sweden	A1b/94N
EPI_ISL_1064117|A/Wisconsin/02/2021|2021-01-23	EPI_ISL_1064117	EPI_ISL_1064117|A/Wisconsin/02/2021|2021-01-23	2021-01-23	North America / United States / Wisconsin	United States	A1b/94N
EPI_ISL_1064120|A/Bahrain/1344/2021|2021-01-10	EPI_ISL_1064120	EPI_ISL_1064120|A/Bahrain/1344/2021|2021-01-10	2021-01-10	Asia / Bahrain	Bahrain	A1b/94N
EPI_ISL_1064121|A/Kitakyusyu/1/2020|2020-08-01	EPI_ISL_1064121	EPI_ISL_1064121|A/Kitakyusyu/1/2020|2020-08-01	2020-08-01	Asia / Japan	Japan	A1b/94N
EPI_ISL_1064122|A/Bahrain/3524/2021|2021-01-11	EPI_ISL_1064122	EPI_ISL_1064122|A/Bahrain/3524/2021|2021-01-11	2021-01-11	Asia / Bahrain	Bahrain	A1b/94N
EPI_ISL_1064123|A/Bahrain/9211/2021|2021-01-14	EPI_ISL_1064123	EPI_ISL_1064123|A/Bahrain/9211/2021|2021-01-14	2021-01-14	Asia / Bahrain	Bahrain	A1b/94N
EPI_ISL_1064125|A/Bangladesh/101007/2020|2020-09-29	EPI_ISL_1064125	EPI_ISL_1064125|A/Bangladesh/101007/2020|2020-09-29	2020-09-29	Asia / Bangladesh	Bangladesh	A1b/94N
EPI_ISL_1064127|A/Bahrain/4981/2021|2021-01-12	EPI_ISL_1064127	EPI_ISL_1064127|A/Bahrain/4981/2021|2021-01-12	2021-01-12	Asia / Bahrain	Bahrain	A1b/94N
EPI_ISL_1064128|A/Bangladesh/1006/2020|2020-09-28	EPI_ISL_1064128	EPI_ISL_1064128|A/Bangladesh/1006/2020|2020-09-28	2020-09-28	Asia / Bangladesh	Bangladesh	A1b/94N
EPI_ISL_1064130|A/Vietnam/Vnhcm-Gs508/2020|2020-10-22	EPI_ISL_1064130	EPI_ISL_1064130|A/Vietnam/Vnhcm-Gs508/2020|2020-10-22	2020-10-22	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064131|A/Vietnam/Vnhcm-Gs538/2020|2020-10-29	EPI_ISL_1064131	EPI_ISL_1064131|A/Vietnam/Vnhcm-Gs538/2020|2020-10-29	2020-10-29	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064132|A/Vietnam/Vnhcm-Vp235/2020|2020	EPI_ISL_1064132	EPI_ISL_1064132|A/Vietnam/Vnhcm-Vp235/2020|2020	2020	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064135|A/Vietnam/Vnhcm-Gs483/2020|2020-10-09	EPI_ISL_1064135	EPI_ISL_1064135|A/Vietnam/Vnhcm-Gs483/2020|2020-10-09	2020-10-09	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064136|A/Abu_Dhabi/390121/2021|2021-01-15	EPI_ISL_1064136	EPI_ISL_1064136|A/Abu_Dhabi/390121/2021|2021-01-15	2021-01-15	Asia / United Arab Emirates	United Arab Emirates	A1b/94N
EPI_ISL_1064137|A/Vietnam/Vnhcm-Vp238/2020|2020	EPI_ISL_1064137	EPI_ISL_1064137|A/Vietnam/Vnhcm-Vp238/2020|2020	2020	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064140|A/Vietnam/Vnhcm-Gs506/2020|2020-10-21	EPI_ISL_1064140	EPI_ISL_1064140|A/Vietnam/Vnhcm-Gs506/2020|2020-10-21	2020-10-21	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064141|A/Vietnam/Vnhcm-Gs507/2020|2020-10-21	EPI_ISL_1064141	EPI_ISL_1064141|A/Vietnam/Vnhcm-Gs507/2020|2020-10-21	2020-10-21	Asia / Vietnam	Vietnam	A1b/94N
EPI_ISL_1064142|A/Vietnam/Vnhcm-Gs498/2020|2020-10-14	EPI_ISL_1064142	EPI_ISL_1064142|A/Vietnam/Vnhcm-Gs498/2020|2020-10-14	2020-10-14	Asia / Vietnam	Vietnam	A1b/94N
